angle_deg,t_total_m,normA,normB,normD,Ex_eff_Pa
0,0.001,162747098.89620316,3.457650183405701e-13,13.562258241350264,161000000000.0
5,0.001,161625212.3090165,1.8260810070624996e-12,13.468767692418039,132443654298.44095
10,0.001,158392984.91320223,1.8541762108611794e-12,13.199415409433517,87242370022.90834
15,0.001,153435172.22352153,1.858093029191099e-12,12.786264351960126,56685931340.96889
20,0.001,147343085.22478792,7.008127344043915e-13,12.278590435398991,39043818200.84804
25,0.001,140845828.57642338,7.279509460923746e-13,11.737152381368615,28750424170.98938
30,0.001,134725215.32251263,1.203148399811012e-12,11.227101276876052,22473007042.499886
35,0.001,129723277.80784532,1.016845989170083e-12,10.810273150653776,18479966822.19378
40,0.001,126451821.07527082,1.1138989715542165e-12,10.537651756272567,15860979820.321617
45,0.001,125314330.13028443,6.431098710768743e-13,10.442860844190369,14115375939.543165
50,0.001,126451821.07527085,1.3642420526593924e-12,10.53765175627257,12953108893.852592
55,0.001,129723277.80784532,1.016845989170083e-12,10.810273150653776,12196599003.233917
60,0.001,134725215.3225126,7.190186943645084e-13,11.22710127687605,11729945641.46568
65,0.001,140845828.57642338,7.279509460923746e-13,11.737152381368615,11471243938.730963
70,0.001,147343085.22478783,2.2737367544323206e-13,12.278590435398984,11357042810.70182
75,0.001,153435172.22352153,1.9397686549782015e-12,12.786264351960126,11334120974.335035
80,0.001,158392984.9132022,1.826191594860152e-12,13.199415409433517,11356551738.901764
85,0.001,161625212.3090165,1.820764893869519e-12,13.468767692418039,11386900931.299397
90,0.001,162747098.8962032,3.457650183405701e-13,13.562258241350264,11400000000.000002
